New,CarryOver,description,TRADEUK,TRADEEU,TRADESK,TRADEDK,TRADENK,TRADESF,TRADEZR,TRADEDOL,DOLDIST,EUDIST,MCGUIRK,MCCLE,CLUBH,MARRIOTT,BURHILL,SPORTSW,AGDISC,CROWN
,95000,DJ Select Rain Jacket,145,199,1755,1410,1755,218.9,0,187.5,159.38,159.2,130.5,130.5,130.5,130.5,130.5,130.5,126.15,130.5
,95001,DJ Select Rain Trousers,102.5,149,1245,999,1245,163.9,0,160,136,119.2,92.25,92.25,92.25,92.25,92.25,92.25,89.18,92.25
95271/2,95290/5/7,DJ Tour XP Rain Jacket,106,149,1295,1045,1295,163.9,0,135,114.75,119.2,95.4,95.4,95.4,95.4,95.4,95.4,92.22,95.4
95279,95282/9,DJ Tour XP Rain Shirt,96,135,1060,910,1060,148.5,0,125,106.25,108,86.4,86.4,86.4,86.4,86.4,86.4,83.52,86.4
,95065,DJ Tour XP Rain Trousers,85,120,990,825,990,132,0,97.5,82.88,96,76.5,76.5,76.5,76.5,76.5,76.5,73.95,76.5
95595/7,95590/2/3,FJ HydroLite Rain Jacket,71.5,99,880,710,880,108.9,1325,92.5,78.63,79.2,64.35,64.35,64.35,64.35,64.35,64.35,62.21,64.35
95569/71,95565,FJ HydroLite Rain Shirt,68.8,97,840,680,840,106.7,0,87.5,74.38,77.6,61.92,61.92,61.92,61.92,61.92,61.92,59.86,61.92
,95646,FJ HydroLite Rain Trousers,47.5,69,572,465,572,75.9,975,60,51,55.2,42.75,42.75,42.75,42.75,42.75,42.75,41.33,42.75
,95005/6,FJ StaDry Rain Jacket (TGI only),55,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,95007,FJ StaDry Rain Shirt (TGI only),52,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95953/4,95950,FJ Perf Thermal Fleece,59.5,85,738,595,738,93.5,1275,87.5,74.38,68,53.55,53.55,53.55,53.55,53.55,53.55,51.77,53.55
95927/8,,FJ Lightweight Softshell Jacket,60,83,765,620,765,91.3,0,72.5,61.63,66.4,54,54,54,54,54,54,52.2,54
95934/5,,FJ Lightweight Softshell Vest,52.5,75,670,540,670,82.5,0,67.5,57.38,60,47.25,47.25,47.25,47.25,47.25,47.25,45.68,47.25
95958/9 ; 95967/68,95960/1,FJ Perf Wind Shell Mid Layer,46,65,545,435,545,71.5,0,67.5,50.63,52,41.4,41.4,41.4,41.4,41.4,41.4,40.02,41.4
,94470/1/2,FJ Seamless Thermal Base Layer Mock,28.5,39,345,280,345,42.9,625,42.5,36.13,31.2,25.65,25.65,25.65,25.65,25.65,25.65,24.8,25.65
,96893/4 ; 94461,FJ Thermal Base Layer Mock,21,29,258.5,201,258.5,31.9,425,29,24.65,23.2,18.9,18.9,18.9,18.9,18.9,18.9,18.27,18.9
92612/3/4/5,,Jersey Chill-Out Xtreme,37.5,52,480,390,480,57.2,0,48,40.8,41.6,33.75,33.75,33.75,33.75,33.75,33.75,32.63,33.75
92600/1,,Double Layer Knit Chill-Out,33.5,49,425,345,425,53.9,0,44,37.4,39.2,30.15,30.15,30.15,30.15,30.15,30.15,29.15,30.15
91680/1,,Pique Colour Block w/collar; Armhole & Pocket trim (A),26,34.1,325,260,325,39.5,0,36,30.6,27.28,23.4,23.4,23.4,23.4,23.4,23.4,22.62,23.4
91682/3,,Smooth Pique Sleeve Stripes (T),26,34.1,325,260,325,39.5,0,36,30.6,27.28,23.4,23.4,23.4,23.4,23.4,23.4,22.62,23.4
91684/5,,Pieced Stripe Smooth Pique (A),23,30.35,285,230,285,35.2,0,34,28.9,24.28,20.7,20.7,20.7,20.7,20.7,20.7,20.01,20.7
91678/9,,Heather Lisle w/solid Lisle trim (A),23,30.35,285,230,285,35.2,0,34,28.9,24.28,20.7,20.7,20.7,20.7,20.7,20.7,20.01,20.7
96953/4/5,,FJ Perf Shirt - L/S ThermaLite,30,39,385,310,385,42.9,0,40,34,31.2,27,27,27,27,27,27,26.1,27
95794 ; 95980/1,,Womens FJ HydroLite Rain Jacket,71.5,99,880,710,880,108.9,0,92.5,78.63,79.2,64.35,64.35,64.35,64.35,64.35,64.35,62.21,64.35
94320,94316,Womens FJ HydroLite Rain Trousers,47.5,69,572,465,572,75.9,0,60,51,55.2,42.75,42.75,42.75,42.75,42.75,42.75,41.33,42.75
94445,,Womens Body Mapped Base Layer Mock,28.5,39,345,280,345,42.9,0,42.5,36.13,31.2,25.65,25.65,25.65,25.65,25.65,25.65,24.8,25.65
,94456,Womens Thermal Base Layer Mock,21,29,258.5,201,258.5,31.9,0,29,24.65,23.2,18.9,18.9,18.9,18.9,18.9,18.9,18.27,18.9
95985/6/7,,Womens DWR Lightweight Softshell Jacket,50,69,660,530,660,75.9,0,72.5,61.63,55.2,45,45,45,45,45,45,43.5,45
95990/1/2 ; 95598,,Womens DWR Lightweight Softshell Vest,40,57.5,550,425,550,63.3,0,67.5,57.38,46,36,36,36,36,36,36,34.8,36
