New,Cover,Description,Price,
Cover,Cover,Description,Price,
52012,52043/75 ; 52101,FJ Icon Black,195,
52029,52043/75 ; 52101,FJ Icon Black,195,
52043,52043/75 ; 52101,FJ Icon Black,195,
52075,52043/75 ; 52101,FJ Icon Black,195,
52101,52043/75 ; 52101,FJ Icon Black,195,
57002, ,FJ Professional,86.97,
57004, ,FJ Professional,86.97,
57005, ,FJ Professional,86.97,
53394, ,DNA 2.0 w/Boa,119.34,
53383, ,DNA 2.0,107.64,
53385, ,DNA 2.0,107.64,
53387, ,DNA 2.0,107.64,
53388, ,DNA 2.0,107.64,
53610, ,DryJoys Tour,97.76,
53673, ,DryJoys Tour,97.76,
53678, ,DryJoys Tour,97.76,
53680, ,DryJoys Tour,97.76,
53686, ,DryJoys Tour,97.76,
53619, ,DryJoys Casual Boa,
53646, ,DryJoys Casual,89.7,
53657, ,DryJoys Casual,89.7,
53688, ,DryJoys Casual,89.7,
51008,51078,HyperFlex Boa,104.65,
51078,51078,HyperFlex Boa,104.65,
51004,51022/46,HyperFlex,93.6,
51006,51022/46,HyperFlex,93.6,
51022,51022/46,HyperFlex,93.6,
51046,51022/46,HyperFlex,93.6,
62800, ,HyperFlex Trainer (Internal Use only),
62801, ,HyperFlex Trainer (Internal Use only),
62802, ,HyperFlex Trainer (Internal Use only),
57334, ,FreeStyle Boa,
57330, ,FreeStyle,
57331, ,FreeStyle,
57332, ,FreeStyle,
57333, ,FreeStyle,
57250, ,VersaLuxe,
57251, ,VersaLuxe,
57252, ,VersaLuxe,
57253, ,VersaLuxe,
57254, ,VersaLuxe,
54189,54189/71,Contour w/Boa,93.6,
54171,54189/71,Contour w/Boa,93.6,
54170,54018; 54130/48/93,Contour,82.55,
54018,54018; 54130/48/93,Contour,82.55,
54130,54018; 54130/48/93,Contour,82.55,
54148,54018; 54130/48/93,Contour,82.55,
54193,54018; 54130/48/93,Contour,82.55,
54035, ,Contour (Foremost styles),62.4,
54036, ,Contour (Foremost styles),62.4,
54211,54204/44,Contour Casual,69.16,
54222,54204/44,Contour Casual,69.16,
54216,54204/44,Contour Casual,69.16,
54263,54204/44,Contour Casual,69.16,
54204,54204/44,Contour Casual,69.16,
54244,54204/44,Contour Casual,69.16,
50061, ,HydroLite 2.0 w/Boa,70.85,
50052, ,HydroLite 2.0,61.75,
50054, ,HydroLite 2.0,61.75,
50055, ,HydroLite 2.0,61.75,
50062, ,HydroLite 2.0,61.75,
50063, ,HydroLite 2.0,61.75,
50064, ,HydroLite 2.0,61.75,
53390,53998,FJ Boot,61.23,
53998,53998,FJ Boot,61.23,
57863, ,AWD XL,50.7,
57864, ,AWD XL,50.7,
57865, ,AWD XL,50.7,
57866, ,AWD XL Casual,46.67,
57867, ,AWD XL Casual,46.67,
57868, ,AWD XL Casual,46.67,
58016,58118,FJ Superlites CT,48.1,
58018,58118,FJ Superlites CT,48.1,
58019,58118,FJ Superlites CT,48.1,
58118,58118,FJ Superlites CT,48.1,
45300, ,GreenJoys,37.05,
45301, ,GreenJoys,37.05,
45099,45023,Junior DNA / HyperFlex,34.32,
45023,45023,Junior DNA / HyperFlex,34.32,
48203,48203/11,Junior Girls,
48211,48203/11,Junior Girls,
12450,12450,FirstJoys,156,
52100,52100,MYJOYS - Premier FJ Icon,205.4,
52042,52090,MYJOYS - FJ Icon w/Boa,178.1,
52090,52090,MYJOYS - FJ Icon w/Boa,178.1,
52041,52080    ;    52010/40 ; 52180,MYJOYS - FJ Icon,170.3,
52080,52080    ;    52010/40 ; 52180,MYJOYS - FJ Icon,170.3,
52010,52080    ;    52010/40 ; 52180,MYJOYS - FJ Icon,170.3,
52040,52080    ;    52010/40 ; 52180,MYJOYS - FJ Icon,170.3,
52180,52080    ;    52010/40 ; 52180,MYJOYS - FJ Icon,170.3,
52002, ,MYJOYS - D.N.A. w/Boa,
52001, ,MYJOYS - D.N.A.,
52550,52550,MYJOYS - Premier FJ Professional,162.5,
52530,52530     ;    52270 ; 52300 ; 52390,MYJOYS - FJ Professional,140.4,
52270,52530     ;    52270 ; 52300 ; 52390,MYJOYS - FJ Professional,140.4,
52300,52530     ;    52270 ; 52300 ; 52390,MYJOYS - FJ Professional,140.4,
52390,52530     ;    52270 ; 52300 ; 52390,MYJOYS - FJ Professional,140.4,
53780,53780,MYJOYS - DryJoys Tour,121.55,
54280,54280,MYJOYS - Contour,105.95,
54271, ,MYJOYS - Contour Casual,105.95,
94820, ,DNA Boa,107.64,
94805, ,DNA,97.76,
94806, ,DNA,97.76,
91650, ,Tailored Collection,
91651, ,Tailored Collection,
96104, ,emBody Boa,
96000, ,emBody,
96001, ,emBody,
96100, ,emBody,
96101, ,emBody,
96103, ,emBody,
98004, ,emPower Boa,
98000, ,emPower,
98001, ,emPower,
98002, ,emPower,
98003, ,emPower,
97705, ,Casual Collection,
97706, ,Casual Collection,
97707, ,Casual Collection,
97708, ,Casual Collection,
97709, ,Casual Collection,
97710, ,Casual Collection,
97711, ,Casual Collection,
96109, ,emBody FJ Boot (AW '16),
96110, ,emBody FJ Boot (AW '16),
98305,98305/18,emBody FJ Boot (AW '15),61.945,
98318,98305/18,emBody FJ Boot (AW '15),61.945,
93906, ,eMerge Spiked,
93907, ,eMerge Spiked,
93908, ,eMerge Spiked,
93903, ,eMerge Spikeless,
93905, ,eMerge Spikeless,
95700, ,enJoy,
95702, ,enJoy,
95703, ,enJoy,
99640,99640/70,MYJOYS - DryJoys BOA,123.5,
99670,99640/70,MYJOYS - DryJoys BOA,123.5,
99630,99630/60,MYJOYS - DryJoys,115.7,
99660,99630/60,MYJOYS - DryJoys,115.7,
97330,97330,MYJOYS - LoPro,93.6,
97350,97350,MYJOYS - LoPro Casual,93.6,
