Type,Keys,TRADEZR1
bll,Pro V1 ,525
bll,Pro V1x ,525
bll,Pro V1 (All Double Digit),525
bll,Pro V1x (All Double Digit),525
bll,NXT Tour 'S' and yellow,360
bll,Velocity,270
bll,DT TruSoft,240
bll,NEW! Pinnacle Rush (dz),190
bll,NEW! Pinnacle Soft (dz),190
bll,Pinnacle Exception,165
bll,Pinnacle Practice ( Doz )White,140
bll,Pinnacle Practice ( Doz )Yellow,140
bll,Pinnacle Practice ( Doz )White +Logo,165
bll,Pinnacle Practice ( Doz )Yellow + Logo,165
bll,PRO  V1  LOGO  OVER-RUNS (BULK),350
bll,PINNACLE  LOGO  OVER-RUNS (BULK),125
bll,NEW! PRO V1X OUTS,300
bll,X-OUT - TITLEIST  SURLYN,130
bll,PRACTICE BALLS (V1 & V1X) Loose,360
bll,PRACTICE BALLS NXT,200
bll,PRACTICE BALLS NXT - LOGO,200
irn,716 AP1,1000
irn,716 AP1 Graphite,1200
irn,716 AP2 Forged,1300
irn,716 AP2 Forged Graphite,1450
irn,716 CB,1300
irn,716 MB,1200
irn,716 T-MB,1870
irn,716 T-MB Graphite,2000
irn,716 CB Graphite,1450
irn,716 MB Graphite,1350
irn,2017 AP1 Steel,1000
irn,2017 AP1 Graphite,1200
irn,2017 AP2 Steel,1300
irn,2017 AP2 Graphite,1450
irn,2017 CB Steel,1375
irn,2017 MB Steel,1275
irn,2017 T-MB Steel,2100
irn,Vokey SM6 - Tour Chrome,1250
irn,Vokey SM6 - Steel Grey,1250
irn,Vokey SM6 - Jet Black,1250
irn,Vokey SM6 - Custom Graphite,1400
mtl,Hybrids - 816H1,2000
mtl,Hybrids - 816H2,2000
mtl,Hybrids - 818H1,2000
mtl,Hybrids - 818H2,2000
mtl,Drivers  917 D2  ,4500
mtl,Drivers  917 D7  ,4500
mtl,Fairways  917 F  ,2700
mtl,Fairways  917 FD   ,2700
ptr,"Cameron Crown 33""",3300
ptr,Cameron  Dual Balance ,3800
ptr,Cameron Select / H - 2016,3300
ptr,Cameron - Futura / H - 2017,3300
ptr,S Cameron - Limited Editions #1 My Girl/Holiday,6500
ptr,S Cameron - Limited Editions #2,6500
ptr,S Cameron - Limited Editions #3,6500
ptr,S Cameron - Limited Editions #4 (Jordan Spieth),6500
ptr,S Cameron - My Girl / Holiday,6500
ptr,Pivot Tool,100
glv,Players,220
glv,Players-Flex ,170
glv,Perma-Soft,150
bags ,"NEW! Tour Vinyl  Staff Bag(9.5"")",4500
bags ,Sta-Dry Cart Bag,2450
bags ,NEW! Midsize Staff Cart Bag,2350
bags ,Deluxe Cart Bag,2150
bags ,Lightweight Cart Bag,1850
bags ,NEW! Tour Stand ,2200
bags ,NEW! Players 5 StaDry Waterproof Stand ,2300
bags ,NEW! Players 14 Stand Bag - Staff Colours,1850
bags ,NEW! Players 14 Stand Bag,1850
bags ,NEW! Players 5 Stand Bag - Staff Colours,1750
bags ,NEW! Players 5 Stand Bag,1750
bags ,Sta-Dry 4UP Stand Bag,2000
bags ,NEW! Players 4 Stand Bag - Staff Colours,1550
bags ,NEW! Players 4 Stand Bag,1550
bags ,NEW! Premium Carry DS Bag,900
bags ,NEW! Sunday Carry DS Bag ,600
hdv,Classic Ball Marker (Dozen),2500
hdv,NEW! Performance Ball Marker (Dozen),2500
hdv,Flag Q Max (Dozen) (FRA/BEL/SPA/POR/SWE),2000
hdv,NEW! Tour Performance (Dozen),2340
hdv,NEW! Tour Performance Visor (Dozen),2340
hdv,Tour Visor - Black/White (Dozen),2340
hdv,NEW! Two Tone Mesh (Dozen),2500
hdv,NEW! Ladies Pink Ribbon Visor (1/2 dz),1020
hdv,NEW! Ladies Pink Ribbon Cap (1/2 dz),1250
hdv,NEW! Ladies Sports Visor (1/2 dz),1020
hdv,NEW! Junior Performance Cap (1/2 dz),1170
hdv,NEW! Winter POM POM Beanie (1/2 dz),1140
hdv,NEW! Winter Fitted Beanie (Striped) Ladies and Mens (1/2 dz),1140
hdv,Performance Beanie (1/2 dz),1140
hdv,Aussie Assorted (1/2 dz) SOUTHERN & S AFRICA ONLY,1450
hdv,NEW! Performance Seersucker Bucket (1/2 dz),1500
hdv,NEW! Dobby Tech Cap (Dozen),2500
hdv,NEW! Players Deep Fit (Dozen),2500
acc,PROFESSIONAL Small Wheeled Travel Cover,3000
acc,"PROFESSIONAL 24"" Wheeled Duffel",2450
acc,"PROFESSIONAL 24"" Roller",2500
acc,PROFESSIONAL Duffel Bag,1900
acc,PROFESSIONAL Messenger Bag ,1700
acc,PROFESSIONAL Backpack,1850
acc,PROFESSIONAL Cabin Bag,1700
acc,PROFESSIONAL Briefcase,1850
acc,ESSENTIAL Travel Cover,1750
acc,"ESSENTIAL 22"" Wheeled Duffel Bag",1275
acc,ESSENTIAL Duffel Bag,800
acc,NEW! Large Backpack,800
acc,ESSENTIAL Sackpack,250
acc,ESSENTIAL Valubles Pouch,160
acc,NEW! Practice Ball Bag,700
acc,NEW! Den Caddy,1000
acc,Double Canopy Umbrella,600
acc,Premier Umbrella ,1250
acc,Staff Towel,300
acc,Players Towel,250
acc,Microfibre Towel,200
acc,NEW! Microfibre Tri-Fold Cart Towel,145
acc,Black Leather Headcover - Driver,550
acc,Black Leather Headcover - Fairway,450
acc,Ear Band,90
acc,Cart Mitts,330
